Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Xero","3253581690420","1 Verbene Mandarine set box","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","3253581690420","1 Verbene Mandarine set box","WNL","1-C-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Item","point","1000积分礼包","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Xero","3614272704411","10x2ml (Lazy Sunday Morning, Jazz Club, Beach Walk, At the Barber's, By the Fireplace, Music Festival, Flower Market, Sailing Day, Under the Lemon Trees, Whispers in the Library)","WNL","3-F-1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Item","702811549852","14 Day Detox Tea","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","HOLLAND & BARRETT",0.0000,0.0000,0.0000,
"Item","702811549852","14 Day Detox Tea","WNL","5-E-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","HOLLAND & BARRETT",0.0000,0.0000,0.0000,
"Item","702811549852","14 Day Detox Tea","WNL","OUT CT PP","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","HOLLAND & BARRETT",0.0000,0.0000,0.0000,
"Xero","858433000254","17 Nandan Road EDT","WNL","6-E-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","F003","19.9 Cosmetic Pocket 1 FILORGA","WNL","4-H-5","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","Filorga",0.0000,0.0000,0.0000,
"Xero","F004","19.9 Cosmetic Pocket 2 LANCOME","WNL","5-G-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","LANCOME",0.0000,0.0000,0.0000,
