store,websites,attribute_set,type,sku,name,qty,sku_type
admin,base,Fragrance,simple,8055118031684,"Milano Fragranze Derby Eau de Parfum 2ml Sample",23.0000,
admin,base,Fragrance,simple,8055118031646,"Milano Fragranze Diurno Eau de Parfum 2ml Sample",0.0000,
admin,base,Fragrance,simple,8055118031639,"Milano Fragranze Galleria Eau de Parfum 2ml Sample",0.0000,
admin,base,Fragrance,simple,8055118031677,"Milano Fragranze La Prima Eau de Parfum 2ml Sample",6.0000,
admin,base,Fragrance,simple,8055118031615,"Milano Fragranze Naviglio Eau de Parfum 2ml Sample",3.0000,
admin,base,Fragrance,simple,737052351100,"Hugo Boss Boss Bottled  Eau de Toilette 100 ml",0.0000,
admin,base,Fragrance,simple,3760265191188,"Mancera Roses Vanille Eau de Parfum  120ml (Tester)",17.0000,
admin,base,Fragrance,simple,3760265191654,"Mancera The Aoud Eau de Parfum 120ml(Tester)",19.0000,
admin,base,Fragrance,simple,701666300960,"Amouage Dia Man Eau de Parfum 100ml",7.0000,
admin,base,Fragrance,simple,701666300083,"Amouage Dia Woman Eau de Parfum 100ml",8.0000,
admin,base,Fragrance,simple,8028714928125,"Amouage The Library Collection Opus II Eau de Parfum 100ml（Tester）",,
admin,base,Fragrance,simple,8028714689873,"Amouage The Library Collection Opus III Eau de Parfum 100ml （Tester）",,
admin,base,Fragrance,simple,3346470158252,"Guerlain Jicky Extrait de Parfum 30ml",4.0000,
admin,base,Fragrance,simple,3346470131255,"Guerlain Vol de Nuit Extrait de Parfum 30ml",2.0000,
admin,base,Fragrance,simple,3346470150256(YP),"Guerlain L'Heure Bleue Extrait de Parfum 30ML",2.0000,
admin,base,Fragrance,simple,3760265190645,"Mancera Lemon Line Eau de Parfum  120ml",1.0000,
admin,base,Fragrance,simple,3760265193533,"Mancera Black To Black Eau de Parfum 120ml (Tester)",37.0000,
admin,base,Fragrance,simple,8033488152864,"Xerjoff Cruz Del Sur I Parfum 50ml",1.0000,
admin,base,Fragrance,simple,8033488155506,"Xerjoff 17/17 Stone Label RICHWOOD Parfum 100ml",4.0000,
admin,base,Fragrance,simple,8033488157449,"Xerjoff 17/17 Stone Label PIKOVAYA DAMA Parfum 100ml",5.0000,
admin,base,Fragrance,simple,8033488155469,"Xerjoff 17/17 Stone Label XXY Parfum 100ml",10.0000,
admin,base,Fragrance,simple,783320978928,"Bvlgari Eau Parfumee au The Noir Eau de Cologne 5 ml",0.0000,
admin,base,Fragrance,simple,5056245000904,"Penhaligon's Portraits Cousin Matthew Eau de Parfum 75 ml (Tester)",3.0000,
admin,base,Fragrance,simple,701666400035,"Amouage Ashore Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,701666230021,"Amouage Bracken Woman  Eau de Parfum 100ml",3.0000,
admin,base,Fragrance,simple,701666311096,"Amouage Ciel Woman Eau de Parfum 100ml",5.0000,
admin,base,Fragrance,simple,701666400028,"Amouage Enclave Eau de Parfum 100ml",2.0000,
admin,base,Fragrance,simple,701666312925,"Amouage Epic Man Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,701666314929,"Amouage Honour Man Eau de Parfum 100ml",2.0000,
admin,base,Fragrance,simple,701666314127,"Amouage Honour Woman Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,701666400042,"Amouage Meander Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,701666311171,"Amouage Reflection Woman Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,701666340966,"Amouage Gold Man Eau de Parfum 100ml",2.0000,
admin,base,Fragrance,simple,701666340065,"Amouage Gold Woman Eau de Parfum 100ml",3.0000,
admin,base,Fragrance,simple,701666360124,"Amouage Rose Incense Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,5060270297949,"Roja Dove A Goodnight Kiss Parfum100 ml",4.0000,
admin,base,Fragrance,simple,5060399677585,"Roja Dove Great Britain Parfum 100ml",5.0000,
admin,base,Fragrance,simple,5060270291626,"Roja Dove Diaghilev Parfum 100ml",0.0000,
admin,base,Fragrance,simple,5060370916955,"Roja Dove Enigma Pour Homme Parfum Cologne 100ml",0.0000,
admin,base,Fragrance,simple,8717774840047,"Nasomatto Absinth  Eau de Parfum 30ml",9.0000,
admin,base,Fragrance,simple,8717774840320,"Nasomatto Baraonda  Eau de Parfum 30ml",0.0000,
admin,base,Fragrance,simple,8717774840061,"Nasomatto Black Afgano  Eau de Parfum 30ml",0.0000,
admin,base,Fragrance,simple,8717774840313,"Nasomatto Blamage  Eau de Parfum 30ml",0.0000,
admin,base,Fragrance,simple,8717774840054,"Nasomatto China White  Eau de Parfum 30ml",2.0000,
admin,base,Fragrance,simple,8717774840009,"Nasomatto Duro  Eau de Parfum 30ml",0.0000,
admin,base,Fragrance,simple,8717774840344,"Nasomatto Fantomas  Eau de Parfum 30ml",0.0000,
admin,base,Fragrance,simple,8717774840337,"Nasomatto Nudiflorum  Eau de Parfum 30ml",0.0000,
admin,base,Fragrance,simple,8717774840023,"Nasomatto Silver Musk  Eau de Parfum 30ml",9.0000,
admin,base,Fragrance,simple,8717774840290,"Nasomatto Pardon Eau de Parfum 30ml",,
admin,base,Fragrance,simple,8717774840818,"Orto Parisi Stercus Eau de Parfum 50ml",0.0000,
admin,base,Fragrance,simple,8717774840863,"Orto Parisi Terroni Eau de Parfum 50ml",0.0000,
